run_accession	sample_accession	secondary_sample_accession	study_accession	secondary_study_accession	experiment_accession	scientific_name	library_strategy	library_layout	library_source	library_selection	instrument_platform	instrument_model	read_count	base_count	fastq_bytes	fastq_md5	fastq_ftp	already_available_locally	existing_gvcf	selection_status	selection_reason
SRR29908789	SAMN42721561	SRS22066896	PRJNA1138464	SRP521244	SRX25404359	Vigna angularis	WGS	PAIRED	GENOMIC	size fractionation	ILLUMINA	Illumina HiSeq X	35466302	10639890600	2590753116;2713426593	fa583205541c384b05283a890fafe68c;eb3d151e6254d3c704937ccb8d902cb6	ftp.sra.ebi.ac.uk/vol1/fastq/SRR299/089/SRR29908789/SRR29908789_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR299/089/SRR29908789/SRR29908789_2.fastq.gz	false	false	SELECTED	first31 additional WGS paired runs in accession order
SRR29908790	SAMN42721560	SRS22066895	PRJNA1138464	SRP521244	SRX25404358	Vigna angularis	WGS	PAIRED	GENOMIC	size fractionation	ILLUMINA	Illumina HiSeq X	24978759	7493627700	1820277330;1907535174	a34f7ff0aa0e1105891a648e009d8af5;0e688d15fc163889978174526bd86fde	ftp.sra.ebi.ac.uk/vol1/fastq/SRR299/090/SRR29908790/SRR29908790_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR299/090/SRR29908790/SRR29908790_2.fastq.gz	false	false	SELECTED	first31 additional WGS paired runs in accession order
SRR29908791	SAMN42721559	SRS22066894	PRJNA1138464	SRP521244	SRX25404357	Vigna angularis	WGS	PAIRED	GENOMIC	size fractionation	ILLUMINA	Illumina HiSeq X	34832884	10449865200	2539717769;2633021114	af51e5ed2d9c3735142eb5a02ef14a14;6c8409ea0152416b8a548bfffa3e126b	ftp.sra.ebi.ac.uk/vol1/fastq/SRR299/091/SRR29908791/SRR29908791_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR299/091/SRR29908791/SRR29908791_2.fastq.gz	false	false	SELECTED	first31 additional WGS paired runs in accession order
SRR29908792	SAMN42721558	SRS22066893	PRJNA1138464	SRP521244	SRX25404356	Vigna angularis	WGS	PAIRED	GENOMIC	size fractionation	ILLUMINA	Illumina HiSeq X	36050861	10815258300	2624714766;2739783074	b90575e5d58ca4eced433b270cdc4a11;cbe26b8380fd444ff655af1cb763ec1f	ftp.sra.ebi.ac.uk/vol1/fastq/SRR299/092/SRR29908792/SRR29908792_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR299/092/SRR29908792/SRR29908792_2.fastq.gz	false	false	SELECTED	first31 additional WGS paired runs in accession order
SRR29908793	SAMN42720964	SRS22066892	PRJNA1138464	SRP521244	SRX25404355	Vigna angularis	WGS	PAIRED	GENOMIC	size fractionation	ILLUMINA	Illumina HiSeq X	29365226	8809567800	2343607061;2522163860	45e3a1a3978a33cc26eab92adbbe5b29;2e420f7ba14a13e154a4c50ac6d77f84	ftp.sra.ebi.ac.uk/vol1/fastq/SRR299/093/SRR29908793/SRR29908793_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR299/093/SRR29908793/SRR29908793_2.fastq.gz	false	false	SELECTED	first31 additional WGS paired runs in accession order
SRR29908794	SAMN42721557	SRS22066889	PRJNA1138464	SRP521244	SRX25404354	Vigna angularis	WGS	PAIRED	GENOMIC	size fractionation	ILLUMINA	Illumina HiSeq X	37421350	11226405000	2724164487;2852890191	44fa0e8da467ff09676aa9f6099ec58f;3ef68034c22bed7c7ee0aee89d6fec54	ftp.sra.ebi.ac.uk/vol1/fastq/SRR299/094/SRR29908794/SRR29908794_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR299/094/SRR29908794/SRR29908794_2.fastq.gz	false	false	SELECTED	first31 additional WGS paired runs in accession order
SRR29908795	SAMN42721556	SRS22066891	PRJNA1138464	SRP521244	SRX25404353	Vigna angularis	WGS	PAIRED	GENOMIC	size fractionation	ILLUMINA	Illumina HiSeq X	36479975	10943992500	2657756215;2761307405	cd56b01455e13c62d8a2f861fb03193a;019a09db40424f1609f183f0f3893779	ftp.sra.ebi.ac.uk/vol1/fastq/SRR299/095/SRR29908795/SRR29908795_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR299/095/SRR29908795/SRR29908795_2.fastq.gz	false	false	SELECTED	first31 additional WGS paired runs in accession order
SRR29908796	SAMN42721555	SRS22066890	PRJNA1138464	SRP521244	SRX25404352	Vigna angularis	WGS	PAIRED	GENOMIC	size fractionation	ILLUMINA	Illumina HiSeq X	32937115	9881134500	2435746872;2487717805	4eeaea845e4dfad7f45718320906f022;cae0f8185e0b7112b93ef7b731757f82	ftp.sra.ebi.ac.uk/vol1/fastq/SRR299/096/SRR29908796/SRR29908796_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR299/096/SRR29908796/SRR29908796_2.fastq.gz	false	false	SELECTED	first31 additional WGS paired runs in accession order
SRR29908797	SAMN42721554	SRS22066888	PRJNA1138464	SRP521244	SRX25404351	Vigna angularis	WGS	PAIRED	GENOMIC	size fractionation	ILLUMINA	Illumina HiSeq X	32105555	9631666500	2379246854;2429262276	3338b5654f94e8fc766a47b1de4d9800;e578cfba615045ab8da9a8eccf584f0a	ftp.sra.ebi.ac.uk/vol1/fastq/SRR299/097/SRR29908797/SRR29908797_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR299/097/SRR29908797/SRR29908797_2.fastq.gz	false	false	SELECTED	first31 additional WGS paired runs in accession order
SRR29908798	SAMN42721553	SRS22066887	PRJNA1138464	SRP521244	SRX25404350	Vigna angularis	WGS	PAIRED	GENOMIC	size fractionation	ILLUMINA	Illumina HiSeq X	23928787	7178636100	1789837091;1850885716	29596c0a97689dc0683fd0507925e63c;849a062c5dc2cf90c61b729cc87461e3	ftp.sra.ebi.ac.uk/vol1/fastq/SRR299/098/SRR29908798/SRR29908798_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR299/098/SRR29908798/SRR29908798_2.fastq.gz	false	false	SELECTED	first31 additional WGS paired runs in accession order
SRR29908799	SAMN42721552	SRS22066885	PRJNA1138464	SRP521244	SRX25404349	Vigna angularis	WGS	PAIRED	GENOMIC	size fractionation	ILLUMINA	Illumina HiSeq X	30790291	9237087300	2264517677;2300387115	1a1a1f4536ff265db932fc3f08524abe;0c1e85d89a04e13224cd626bae3039e2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR299/099/SRR29908799/SRR29908799_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR299/099/SRR29908799/SRR29908799_2.fastq.gz	false	false	SELECTED	first31 additional WGS paired runs in accession order
SRR29908800	SAMN42721551	SRS22066886	PRJNA1138464	SRP521244	SRX25404348	Vigna angularis	WGS	PAIRED	GENOMIC	size fractionation	ILLUMINA	Illumina HiSeq X	32405239	9721571700	2398338804;2459108561	28132d1abaccd659b8e7037a877cdfc2;81703c3e5ab69df2c1eab1b66522a1c4	ftp.sra.ebi.ac.uk/vol1/fastq/SRR299/000/SRR29908800/SRR29908800_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR299/000/SRR29908800/SRR29908800_2.fastq.gz	false	false	SELECTED	first31 additional WGS paired runs in accession order
SRR29908801	SAMN42721550	SRS22066884	PRJNA1138464	SRP521244	SRX25404347	Vigna angularis	WGS	PAIRED	GENOMIC	size fractionation	ILLUMINA	Illumina HiSeq X	29166543	8749962900	2174862016;2255715787	d1fa7ba64c766b648d119d2d2964a736;a4c863af327d24cc5f61f9bd0fcaebce	ftp.sra.ebi.ac.uk/vol1/fastq/SRR299/001/SRR29908801/SRR29908801_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR299/001/SRR29908801/SRR29908801_2.fastq.gz	false	false	SELECTED	first31 additional WGS paired runs in accession order
