cohort_id	variant_type	annotation	row_type	bin_lower_inclusive	bin_upper_exclusive	total_records	present_records	missing_records	evaluable_rate	value_count	rate_among_present	min_value	max_value	mean_value
PRJNA1138464_20sample	indel	QD	summary	NA	NA	1649635	1649623	12	0.999993	1649623	1.000000	0.01	44.11	25.5272582463
PRJNA1138464_20sample	indel	QD	histogram	-inf	0	1649635	1649623	12	0.999993	0	0.000000	NA	NA	NA
PRJNA1138464_20sample	indel	QD	histogram	0	1	1649635	1649623	12	0.999993	1388	0.000841	NA	NA	NA
PRJNA1138464_20sample	indel	QD	histogram	1	2	1649635	1649623	12	0.999993	5412	0.003281	NA	NA	NA
PRJNA1138464_20sample	indel	QD	histogram	2	3	1649635	1649623	12	0.999993	15756	0.009551	NA	NA	NA
PRJNA1138464_20sample	indel	QD	histogram	3	5	1649635	1649623	12	0.999993	42928	0.026023	NA	NA	NA
PRJNA1138464_20sample	indel	QD	histogram	5	10	1649635	1649623	12	0.999993	112958	0.068475	NA	NA	NA
PRJNA1138464_20sample	indel	QD	histogram	10	20	1649635	1649623	12	0.999993	159004	0.096388	NA	NA	NA
PRJNA1138464_20sample	indel	QD	histogram	20	+inf	1649635	1649623	12	0.999993	1312177	0.795441	NA	NA	NA
PRJNA1138464_20sample	indel	QUAL	summary	NA	NA	1649635	1649635	0	1.000000	1649635	1.000000	30	1033004.83	492.522380042
PRJNA1138464_20sample	indel	QUAL	histogram	-inf	0	1649635	1649635	0	1.000000	0	0.000000	NA	NA	NA
PRJNA1138464_20sample	indel	QUAL	histogram	0	10	1649635	1649635	0	1.000000	0	0.000000	NA	NA	NA
PRJNA1138464_20sample	indel	QUAL	histogram	10	20	1649635	1649635	0	1.000000	0	0.000000	NA	NA	NA
PRJNA1138464_20sample	indel	QUAL	histogram	20	30	1649635	1649635	0	1.000000	0	0.000000	NA	NA	NA
PRJNA1138464_20sample	indel	QUAL	histogram	30	50	1649635	1649635	0	1.000000	87930	0.053303	NA	NA	NA
PRJNA1138464_20sample	indel	QUAL	histogram	50	100	1649635	1649635	0	1.000000	221252	0.134122	NA	NA	NA
PRJNA1138464_20sample	indel	QUAL	histogram	100	1000	1649635	1649635	0	1.000000	1147626	0.695685	NA	NA	NA
PRJNA1138464_20sample	indel	QUAL	histogram	1000	+inf	1649635	1649635	0	1.000000	192827	0.116891	NA	NA	NA
PRJNA1138464_20sample	indel	SOR	summary	NA	NA	1649635	1649635	0	1.000000	1649635	1.000000	0.001	15.289	1.26987798574
PRJNA1138464_20sample	indel	SOR	histogram	-inf	0	1649635	1649635	0	1.000000	0	0.000000	NA	NA	NA
PRJNA1138464_20sample	indel	SOR	histogram	0	1	1649635	1649635	0	1.000000	713880	0.432750	NA	NA	NA
PRJNA1138464_20sample	indel	SOR	histogram	1	2	1649635	1649635	0	1.000000	688893	0.417603	NA	NA	NA
PRJNA1138464_20sample	indel	SOR	histogram	2	3	1649635	1649635	0	1.000000	192903	0.116937	NA	NA	NA
PRJNA1138464_20sample	indel	SOR	histogram	3	4	1649635	1649635	0	1.000000	44046	0.026700	NA	NA	NA
PRJNA1138464_20sample	indel	SOR	histogram	4	5	1649635	1649635	0	1.000000	7970	0.004831	NA	NA	NA
PRJNA1138464_20sample	indel	SOR	histogram	5	10	1649635	1649635	0	1.000000	1938	0.001175	NA	NA	NA
PRJNA1138464_20sample	indel	SOR	histogram	10	+inf	1649635	1649635	0	1.000000	5	0.000003	NA	NA	NA
PRJNA1138464_20sample	indel	FS	summary	NA	NA	1649635	1649635	0	1.000000	1649635	1.000000	0	247.212	1.09109718029
PRJNA1138464_20sample	indel	FS	histogram	-inf	0	1649635	1649635	0	1.000000	0	0.000000	NA	NA	NA
PRJNA1138464_20sample	indel	FS	histogram	0	10	1649635	1649635	0	1.000000	1605830	0.973446	NA	NA	NA
PRJNA1138464_20sample	indel	FS	histogram	10	30	1649635	1649635	0	1.000000	39036	0.023663	NA	NA	NA
PRJNA1138464_20sample	indel	FS	histogram	30	60	1649635	1649635	0	1.000000	4078	0.002472	NA	NA	NA
PRJNA1138464_20sample	indel	FS	histogram	60	100	1649635	1649635	0	1.000000	592	0.000359	NA	NA	NA
PRJNA1138464_20sample	indel	FS	histogram	100	200	1649635	1649635	0	1.000000	94	0.000057	NA	NA	NA
PRJNA1138464_20sample	indel	FS	histogram	200	300	1649635	1649635	0	1.000000	5	0.000003	NA	NA	NA
PRJNA1138464_20sample	indel	FS	histogram	300	500	1649635	1649635	0	1.000000	0	0.000000	NA	NA	NA
PRJNA1138464_20sample	indel	FS	histogram	500	+inf	1649635	1649635	0	1.000000	0	0.000000	NA	NA	NA
PRJNA1138464_20sample	indel	MQ	summary	NA	NA	1649635	1649635	0	1.000000	1649635	1.000000	20	60	56.4232140322
PRJNA1138464_20sample	indel	MQ	histogram	-inf	0	1649635	1649635	0	1.000000	0	0.000000	NA	NA	NA
PRJNA1138464_20sample	indel	MQ	histogram	0	20	1649635	1649635	0	1.000000	0	0.000000	NA	NA	NA
PRJNA1138464_20sample	indel	MQ	histogram	20	30	1649635	1649635	0	1.000000	17253	0.010459	NA	NA	NA
PRJNA1138464_20sample	indel	MQ	histogram	30	40	1649635	1649635	0	1.000000	62127	0.037661	NA	NA	NA
PRJNA1138464_20sample	indel	MQ	histogram	40	50	1649635	1649635	0	1.000000	141286	0.085647	NA	NA	NA
PRJNA1138464_20sample	indel	MQ	histogram	50	60	1649635	1649635	0	1.000000	428110	0.259518	NA	NA	NA
PRJNA1138464_20sample	indel	MQ	histogram	60	+inf	1649635	1649635	0	1.000000	1000859	0.606715	NA	NA	NA
PRJNA1138464_20sample	indel	MQRankSum	summary	NA	NA	1649635	511238	1138397	0.309910	511238	1.000000	-21.17	6.74	-0.593047163943
PRJNA1138464_20sample	indel	MQRankSum	histogram	-inf	-20	1649635	511238	1138397	0.309910	1	0.000002	NA	NA	NA
PRJNA1138464_20sample	indel	MQRankSum	histogram	-20	-15	1649635	511238	1138397	0.309910	0	0.000000	NA	NA	NA
PRJNA1138464_20sample	indel	MQRankSum	histogram	-15	-12.5	1649635	511238	1138397	0.309910	0	0.000000	NA	NA	NA
PRJNA1138464_20sample	indel	MQRankSum	histogram	-12.5	-10	1649635	511238	1138397	0.309910	1	0.000002	NA	NA	NA
PRJNA1138464_20sample	indel	MQRankSum	histogram	-10	-5	1649635	511238	1138397	0.309910	117	0.000229	NA	NA	NA
PRJNA1138464_20sample	indel	MQRankSum	histogram	-5	0	1649635	511238	1138397	0.309910	237106	0.463788	NA	NA	NA
PRJNA1138464_20sample	indel	MQRankSum	histogram	0	5	1649635	511238	1138397	0.309910	274006	0.535966	NA	NA	NA
