cohort_id	variant_type	scenario	annotation	operator	threshold	total_records	present_records	missing_records	hit_records	hit_rate_among_present	hit_rate_among_total	observed_filter_tag_records	predicted_minus_observed	discordant_records
PRJNA1138464_20sample	indel	lenient	QD	<	1	1649635	1649623	12	1388	0.000841	0.000841	NA	NA	NA
PRJNA1138464_20sample	indel	lenient	QUAL	<	20	1649635	1649635	0	0	0.000000	0.000000	NA	NA	NA
PRJNA1138464_20sample	indel	lenient	FS	>	300	1649635	1649635	0	0	0.000000	0.000000	NA	NA	NA
PRJNA1138464_20sample	indel	lenient	ReadPosRankSum	<	-25	1649635	504185	1145450	0	0.000000	0.000000	NA	NA	NA
PRJNA1138464_20sample	indel	lenient	ANY_FILTER	any	NA	1649635	1649635	0	1388	0.000841	0.000841	NA	NA	NA
PRJNA1138464_20sample	indel	current	QD	<	2	1649635	1649623	12	6800	0.004122	0.004122	6800	0	0
PRJNA1138464_20sample	indel	current	QUAL	<	30	1649635	1649635	0	0	0.000000	0.000000	0	0	0
PRJNA1138464_20sample	indel	current	FS	>	200	1649635	1649635	0	5	0.000003	0.000003	5	0	0
PRJNA1138464_20sample	indel	current	ReadPosRankSum	<	-20	1649635	504185	1145450	0	0.000000	0.000000	0	0	0
PRJNA1138464_20sample	indel	current	ANY_FILTER	any	NA	1649635	1649635	0	6802	0.004123	0.004123	6802	0	0
PRJNA1138464_20sample	indel	stringent	QD	<	3	1649635	1649623	12	22556	0.013673	0.013673	NA	NA	NA
PRJNA1138464_20sample	indel	stringent	QUAL	<	50	1649635	1649635	0	87930	0.053303	0.053303	NA	NA	NA
PRJNA1138464_20sample	indel	stringent	FS	>	100	1649635	1649635	0	99	0.000060	0.000060	NA	NA	NA
PRJNA1138464_20sample	indel	stringent	ReadPosRankSum	<	-10	1649635	504185	1145450	1	0.000002	0.000001	NA	NA	NA
PRJNA1138464_20sample	indel	stringent	ANY_FILTER	any	NA	1649635	1649635	0	97608	0.059169	0.059169	NA	NA	NA
