cohort_id	variant_type	annotation	row_type	bin_lower_inclusive	bin_upper_exclusive	total_records	present_records	missing_records	evaluable_rate	value_count	rate_among_present	min_value	max_value	mean_value
PRJNA1138464_20sample	snp	QD	summary	NA	NA	10296980	10296962	18	0.999998	10296962	1.000000	0.01	44.7	23.9869305665
PRJNA1138464_20sample	snp	QD	histogram	-inf	0	10296980	10296962	18	0.999998	0	0.000000	NA	NA	NA
PRJNA1138464_20sample	snp	QD	histogram	0	1	10296980	10296962	18	0.999998	10849	0.001054	NA	NA	NA
PRJNA1138464_20sample	snp	QD	histogram	1	2	10296980	10296962	18	0.999998	57143	0.005550	NA	NA	NA
PRJNA1138464_20sample	snp	QD	histogram	2	3	10296980	10296962	18	0.999998	152334	0.014794	NA	NA	NA
PRJNA1138464_20sample	snp	QD	histogram	3	5	10296980	10296962	18	0.999998	395899	0.038448	NA	NA	NA
PRJNA1138464_20sample	snp	QD	histogram	5	10	10296980	10296962	18	0.999998	1023947	0.099442	NA	NA	NA
PRJNA1138464_20sample	snp	QD	histogram	10	20	10296980	10296962	18	0.999998	1320995	0.128290	NA	NA	NA
PRJNA1138464_20sample	snp	QD	histogram	20	+inf	10296980	10296962	18	0.999998	7335795	0.712423	NA	NA	NA
PRJNA1138464_20sample	snp	QUAL	summary	NA	NA	10296980	10296980	0	1.000000	10296980	1.000000	30	787332.87	531.351248458
PRJNA1138464_20sample	snp	QUAL	histogram	-inf	0	10296980	10296980	0	1.000000	0	0.000000	NA	NA	NA
PRJNA1138464_20sample	snp	QUAL	histogram	0	10	10296980	10296980	0	1.000000	0	0.000000	NA	NA	NA
PRJNA1138464_20sample	snp	QUAL	histogram	10	20	10296980	10296980	0	1.000000	0	0.000000	NA	NA	NA
PRJNA1138464_20sample	snp	QUAL	histogram	20	30	10296980	10296980	0	1.000000	0	0.000000	NA	NA	NA
PRJNA1138464_20sample	snp	QUAL	histogram	30	50	10296980	10296980	0	1.000000	519005	0.050404	NA	NA	NA
PRJNA1138464_20sample	snp	QUAL	histogram	50	100	10296980	10296980	0	1.000000	1426404	0.138526	NA	NA	NA
PRJNA1138464_20sample	snp	QUAL	histogram	100	1000	10296980	10296980	0	1.000000	6965012	0.676413	NA	NA	NA
PRJNA1138464_20sample	snp	QUAL	histogram	1000	+inf	10296980	10296980	0	1.000000	1386559	0.134657	NA	NA	NA
PRJNA1138464_20sample	snp	SOR	summary	NA	NA	10296980	10296980	0	1.000000	10296980	1.000000	0.001	16.649	1.28509843503
