cohort_id	variant_type	scenario	annotation	operator	threshold	total_records	present_records	missing_records	hit_records	hit_rate_among_present	hit_rate_among_total	observed_filter_tag_records	predicted_minus_observed	discordant_records
PRJNA1138464_20sample	snp	lenient	QD	<	1	10296980	10296962	18	10849	0.001054	0.001054	NA	NA	NA
PRJNA1138464_20sample	snp	lenient	QUAL	<	20	10296980	10296980	0	0	0.000000	0.000000	NA	NA	NA
PRJNA1138464_20sample	snp	lenient	SOR	>	4	10296980	10296980	0	95629	0.009287	0.009287	NA	NA	NA
PRJNA1138464_20sample	snp	lenient	FS	>	100	10296980	10296980	0	1525	0.000148	0.000148	NA	NA	NA
PRJNA1138464_20sample	snp	lenient	MQ	<	30	10296980	10296980	0	197555	0.019186	0.019186	NA	NA	NA
PRJNA1138464_20sample	snp	lenient	MQRankSum	<	-15	10296980	4168103	6128877	0	0.000000	0.000000	NA	NA	NA
PRJNA1138464_20sample	snp	lenient	ReadPosRankSum	<	-10	10296980	4157393	6139587	1	0.000000	0.000000	NA	NA	NA
PRJNA1138464_20sample	snp	lenient	ANY_FILTER	any	NA	10296980	10296980	0	300698	0.029203	0.029203	NA	NA	NA
PRJNA1138464_20sample	snp	current	QD	<	2	10296980	10296962	18	67992	0.006603	0.006603	67992	0	0
PRJNA1138464_20sample	snp	current	QUAL	<	30	10296980	10296980	0	0	0.000000	0.000000	0	0	0
PRJNA1138464_20sample	snp	current	SOR	>	3	10296980	10296980	0	410137	0.039831	0.039831	410137	0	0
PRJNA1138464_20sample	snp	current	FS	>	60	10296980	10296980	0	10371	0.001007	0.001007	10371	0	0
PRJNA1138464_20sample	snp	current	MQ	<	40	10296980	10296980	0	890542	0.086486	0.086486	890542	0	0
PRJNA1138464_20sample	snp	current	MQRankSum	<	-12.5	10296980	4168103	6128877	0	0.000000	0.000000	0	0	0
PRJNA1138464_20sample	snp	current	ReadPosRankSum	<	-8	10296980	4157393	6139587	6	0.000001	0.000001	6	0	0
PRJNA1138464_20sample	snp	current	ANY_FILTER	any	NA	10296980	10296980	0	1278951	0.124206	0.124206	1278951	0	0
PRJNA1138464_20sample	snp	stringent	QD	<	3	10296980	10296962	18	220326	0.021397	0.021397	NA	NA	NA
PRJNA1138464_20sample	snp	stringent	QUAL	<	50	10296980	10296980	0	519005	0.050404	0.050404	NA	NA	NA
PRJNA1138464_20sample	snp	stringent	SOR	>	2	10296980	10296980	0	1647134	0.159963	0.159963	NA	NA	NA
PRJNA1138464_20sample	snp	stringent	FS	>	30	10296980	10296980	0	67041	0.006511	0.006511	NA	NA	NA
PRJNA1138464_20sample	snp	stringent	MQ	<	50	10296980	10296980	0	2249847	0.218496	0.218496	NA	NA	NA
PRJNA1138464_20sample	snp	stringent	MQRankSum	<	-10	10296980	4168103	6128877	0	0.000000	0.000000	NA	NA	NA
PRJNA1138464_20sample	snp	stringent	ReadPosRankSum	<	-5	10296980	4157393	6139587	40	0.000010	0.000004	NA	NA	NA
PRJNA1138464_20sample	snp	stringent	ANY_FILTER	any	NA	10296980	10296980	0	3543704	0.344150	0.344150	NA	NA	NA
