step	label	exit_code	wall_seconds	memory_peak_bytes
downsampling	f025_s65.gg	0	10.3	959201280
downsampling	f025_s65.hc	0	116.9	1964380160
downsampling	f025_s65.view	0	10.2	98988032
downsampling	f025_s66.gg	0	10.3	958775296
downsampling	f025_s66.hc	0	117.1	2027552768
downsampling	f025_s66.view	0	10.2	98942976
downsampling	f050_s65.gg	0	15.3	956329984
downsampling	f050_s65.hc	0	196.0	2125115392
downsampling	f050_s65.view	0	14.3	176947200
downsampling	f050_s66.gg	0	15.3	959352832
downsampling	f050_s66.hc	0	196.0	2132545536
downsampling	f050_s66.view	0	14.2	176713728
downsampling	full.bcftools	0	42.9	96329728
downsampling	full.gg	0	16.3	956944384
downsampling	full.hc	0	308.2	1867935744
downsampling	full.view	0	22.3	324317184
crossplatform	bwa	0	322.3	24481406976
crossplatform	fastp	0	48.8	4888207360
crossplatform	gg	0	11.2	956661760
crossplatform	hc	0	140.6	1631043584
crossplatform	index	0	14.3	6438912
crossplatform	markdup	0	141.6	17228976128
