scope	split	overall_status	evidence_classes_evaluated	fails_benchmark_callable_rule	call_retention.f050_s65	call_retention.f050_s66	call_retention.f025_s65	call_retention.f025_s66	caller_site_agreement_rate	caller_genotype_concordance	reference_sample_illumina_non_reference_records_per_mb	reference_sample_illumina_heterozygous_fraction	gs_panel_bases	gs_panel_variant_records_per_mb	gs_panel_missing_genotype_fraction	gs_panel_masked_genotype_fraction	gs_panel_heterozygous_fraction_of_non_reference_calls
window:snp	snp	supported_with_caveat	caller_concordance,descriptive_stratification,downsampling_stability,reference_sample_self_consistency	False	0.710545	0.711126	0.488426	0.485221	0.574845	0.984731	2322.9	0.998988	20000000	29012.9	0.072399	0.385053	0.645199
window:indel	indel	supported_with_caveat	caller_concordance,downsampling_stability	False	0.717328	0.724283	0.50058	0.506085	0.372673	0.855716	NA	NA	NA	NA	NA	NA	NA
window:het	het	supported_with_caveat	caller_concordance,downsampling_stability	False	0.660615	0.660524	0.409545	0.40685	0.492743	0.987709	NA	NA	NA	NA	NA	NA	NA
window:hom_alt	hom_alt	supported_with_caveat	caller_concordance,downsampling_stability	False	0.939041	0.946252	0.850225	0.849652	0.888126	0.946211	NA	NA	NA	NA	NA	NA	NA
core:snp	snp	supported_with_caveat	caller_concordance,descriptive_stratification,downsampling_stability,reference_sample_self_consistency	False	0.707758	0.710975	0.487598	0.478739	0.588283	0.990385	1876.616	1.0	8262745	34422.58	0.058442	0.394696	0.541438
core:indel	indel	supported_with_caveat	caller_concordance,downsampling_stability	False	0.640357	0.645161	0.384351	0.41455	0.152589	0.924107	NA	NA	NA	NA	NA	NA	NA
core:het	het	supported_with_caveat	caller_concordance,downsampling_stability	False	0.63416	0.638538	0.367756	0.36201	0.484182	0.990795	NA	NA	NA	NA	NA	NA	NA
core:hom_alt	hom_alt	supported_with_caveat	caller_concordance,downsampling_stability	False	0.9769	0.976036	0.927893	0.919041	0.95535	0.986111	NA	NA	NA	NA	NA	NA	NA
difficult:snp	snp	supported_with_caveat	caller_concordance,descriptive_stratification,downsampling_stability,reference_sample_self_consistency	False	0.712086	0.711209	0.488884	0.488806	0.56745	0.981505	2621.737	0.998473	11737255	25204.616	0.085817	0.375781	0.72814
difficult:indel	indel	supported_with_caveat	caller_concordance,downsampling_stability	False	0.73362	0.743008	0.524154	0.523959	0.429254	0.84589	NA	NA	NA	NA	NA	NA	NA
difficult:het	het	supported_with_caveat	caller_concordance,downsampling_stability	False	0.673558	0.671417	0.429874	0.42883	0.49848	0.986281	NA	NA	NA	NA	NA	NA	NA
difficult:hom_alt	hom_alt	supported_with_caveat	caller_concordance,downsampling_stability	False	0.914802	0.927127	0.800938	0.805492	0.850643	0.921124	NA	NA	NA	NA	NA	NA	NA
cohort_callable:snp	snp	supported_with_caveat	caller_concordance,descriptive_stratification,downsampling_stability,reference_sample_self_consistency	False	0.685104	0.686063	0.45361	0.448207	0.567987	0.985588	2168.738	0.999695	15142446	32122.816	0.066289	0.3879	0.59906
cohort_callable:indel	indel	supported_with_caveat	caller_concordance,downsampling_stability	False	0.655998	0.661286	0.41219	0.42889	0.24788	0.883002	NA	NA	NA	NA	NA	NA	NA
cohort_callable:het	het	supported_with_caveat	caller_concordance,downsampling_stability	False	0.622836	0.624034	0.353318	0.350012	0.475863	0.988518	NA	NA	NA	NA	NA	NA	NA
cohort_callable:hom_alt	hom_alt	supported_with_caveat	caller_concordance,downsampling_stability	False	0.97329	0.975054	0.920247	0.914703	0.95104	0.965251	NA	NA	NA	NA	NA	NA	NA
cohort_non_callable:snp	snp	supported_with_caveat	caller_concordance,descriptive_stratification,downsampling_stability,reference_sample_self_consistency	True	0.772834	0.77249	0.57367	0.575846	0.590429	0.982857	2734.71	0.997365	4857554	19318.365	0.104067	0.370294	0.792436
cohort_non_callable:indel	indel	supported_with_caveat	caller_concordance,downsampling_stability	True	0.75343	0.766344	0.553269	0.548426	0.457968	0.828412	NA	NA	NA	NA	NA	NA	NA
cohort_non_callable:het	het	supported_with_caveat	caller_concordance,downsampling_stability	True	0.747446	0.744644	0.539362	0.53849	0.5325	0.987585	NA	NA	NA	NA	NA	NA	NA
cohort_non_callable:hom_alt	hom_alt	supported_with_caveat	caller_concordance,downsampling_stability	True	0.86538	0.883655	0.702445	0.712741	0.775061	0.913019	NA	NA	NA	NA	NA	NA	NA
high_mappability:snp	snp	supported_with_caveat	caller_concordance,descriptive_stratification,downsampling_stability,reference_sample_self_consistency	False	0.718449	0.721193	0.500629	0.497067	0.578053	0.985198	2438.541	0.999389	15443250	33802.147	0.069672	0.390442	0.621017
high_mappability:indel	indel	supported_with_caveat	caller_concordance,downsampling_stability	False	0.72884	0.736329	0.517241	0.522989	0.372806	0.844069	NA	NA	NA	NA	NA	NA	NA
high_mappability:het	het	supported_with_caveat	caller_concordance,downsampling_stability	False	0.663165	0.665308	0.412285	0.409583	0.489803	0.98798	NA	NA	NA	NA	NA	NA	NA
high_mappability:hom_alt	hom_alt	supported_with_caveat	caller_concordance,downsampling_stability	False	0.94917	0.956946	0.869322	0.86733	0.8937	0.946162	NA	NA	NA	NA	NA	NA	NA
low_mappability:snp	snp	supported_with_caveat	caller_concordance,descriptive_stratification,downsampling_stability,reference_sample_self_consistency	False	0.680333	0.672646	0.441784	0.439942	0.561607	0.982741	1926.019	0.997265	4556550	12782.259	0.096835	0.336747	0.843326
low_mappability:indel	indel	supported_with_caveat	caller_concordance,downsampling_stability	False	0.657584	0.659401	0.416894	0.423252	0.37967	0.910755	NA	NA	NA	NA	NA	NA	NA
low_mappability:het	het	supported_with_caveat	caller_concordance,downsampling_stability	False	0.651202	0.642827	0.399632	0.397119	0.505358	0.986638	NA	NA	NA	NA	NA	NA	NA
low_mappability:hom_alt	hom_alt	supported_with_caveat	caller_concordance,downsampling_stability	False	0.876214	0.879854	0.730583	0.739078	0.859743	0.946451	NA	NA	NA	NA	NA	NA	NA
repeat_windowmasker:snp	snp	supported_with_caveat	caller_concordance,descriptive_stratification,downsampling_stability,reference_sample_self_consistency	False	0.681842	0.682648	0.450517	0.453339	0.523995	0.977672	2501.676	0.998583	9029947	26070.474	0.087414	0.377891	0.702667
repeat_windowmasker:indel	indel	supported_with_caveat	caller_concordance,downsampling_stability	False	0.73722	0.743928	0.529956	0.530881	0.453974	0.833969	NA	NA	NA	NA	NA	NA	NA
repeat_windowmasker:het	het	supported_with_caveat	caller_concordance,downsampling_stability	False	0.640281	0.639356	0.386735	0.387197	0.450705	0.983927	NA	NA	NA	NA	NA	NA	NA
repeat_windowmasker:hom_alt	hom_alt	supported_with_caveat	caller_concordance,downsampling_stability	False	0.914796	0.928054	0.803783	0.81598	0.85972	0.903897	NA	NA	NA	NA	NA	NA	NA
homopolymer_ge10:snp	snp	supported_with_caveat	caller_concordance,descriptive_stratification,downsampling_stability,reference_sample_self_consistency	False	0.802469	0.765432	0.518519	0.567901	0.4375	0.904762	1572.232	0.980769	33074	28662.998	0.093385	0.454724	0.444962
homopolymer_ge10:indel	indel	supported_with_caveat	caller_concordance,downsampling_stability	False	0.702703	0.810811	0.459459	0.432432	0.307692	0.916667	NA	NA	NA	NA	NA	NA	NA
homopolymer_ge10:het	het	supported_with_caveat	caller_concordance,downsampling_stability	False	0.722892	0.759036	0.39759	0.409639	0.276596	0.923077	NA	NA	NA	NA	NA	NA	NA
homopolymer_ge10:hom_alt	hom_alt	supported_with_caveat	caller_concordance,downsampling_stability	False	0.885714	0.828571	0.742857	0.8	0.682927	0.892857	NA	NA	NA	NA	NA	NA	NA
median_depth_00_03:snp	snp	supported_with_caveat	caller_concordance,descriptive_stratification,downsampling_stability,reference_sample_self_consistency	False	0.550633	0.522152	0.291139	0.186709	0.423358	0.974138	36.325	0.84375	880930	2585.904	0.549906	0.381707	0.139178
median_depth_00_03:indel	indel	supported_with_caveat	caller_concordance,downsampling_stability	False	0.540541	0.589189	0.232432	0.248649	0.429134	0.642202	NA	NA	NA	NA	NA	NA	NA
median_depth_00_03:het	het	supported_with_caveat	caller_concordance,downsampling_stability	False	0.573248	0.477707	0.299363	0.11465	0.381132	0.940594	NA	NA	NA	NA	NA	NA	NA
median_depth_00_03:hom_alt	hom_alt	supported_with_caveat	caller_concordance,downsampling_stability	False	0.534884	0.578488	0.255814	0.252907	0.446927	0.8375	NA	NA	NA	NA	NA	NA	NA
median_depth_03_06:snp	snp	supported_with_caveat	caller_concordance,descriptive_stratification,downsampling_stability,reference_sample_self_consistency	False	0.709318	0.680111	0.40751	0.418637	0.582105	0.9566	196.871	0.878049	624774	7452.295	0.161264	0.744319	0.161498
median_depth_03_06:indel	indel	supported_with_caveat	caller_concordance,downsampling_stability	False	0.647059	0.683258	0.457014	0.479638	0.521236	0.822222	NA	NA	NA	NA	NA	NA	NA
median_depth_03_06:het	het	supported_with_caveat	caller_concordance,downsampling_stability	False	0.606436	0.522277	0.324257	0.25	0.416667	0.92766	NA	NA	NA	NA	NA	NA	NA
median_depth_03_06:hom_alt	hom_alt	supported_with_caveat	caller_concordance,downsampling_stability	False	0.761194	0.800373	0.490672	0.570896	0.702326	0.931567	NA	NA	NA	NA	NA	NA	NA
median_depth_06_10:snp	snp	supported_with_caveat	caller_concordance,descriptive_stratification,downsampling_stability,reference_sample_self_consistency	False	0.81414	0.803645	0.638221	0.632974	0.704094	0.962126	187.292	0.982315	3321020	19681.002	0.061935	0.558542	0.166562
median_depth_06_10:indel	indel	supported_with_caveat	caller_concordance,downsampling_stability	False	0.827586	0.81931	0.66069	0.623448	0.595361	0.863636	NA	NA	NA	NA	NA	NA	NA
median_depth_06_10:het	het	supported_with_caveat	caller_concordance,downsampling_stability	False	0.605985	0.564838	0.335411	0.314214	0.423039	0.910776	NA	NA	NA	NA	NA	NA	NA
median_depth_06_10:hom_alt	hom_alt	supported_with_caveat	caller_concordance,downsampling_stability	False	0.93946	0.947484	0.821298	0.816922	0.86649	0.961671	NA	NA	NA	NA	NA	NA	NA
median_depth_10_15:snp	snp	supported_with_caveat	caller_concordance,descriptive_stratification,downsampling_stability,reference_sample_self_consistency	False	0.676089	0.672896	0.458664	0.461778	0.543914	0.977037	1113.591	0.999546	13847094	29619.283	0.067065	0.387638	0.469526
median_depth_10_15:indel	indel	supported_with_caveat	caller_concordance,downsampling_stability	False	0.657372	0.65526	0.429658	0.447402	0.309563	0.846871	NA	NA	NA	NA	NA	NA	NA
median_depth_10_15:het	het	supported_with_caveat	caller_concordance,downsampling_stability	False	0.565215	0.559982	0.285891	0.292654	0.397368	0.975565	NA	NA	NA	NA	NA	NA	NA
median_depth_10_15:hom_alt	hom_alt	supported_with_caveat	caller_concordance,downsampling_stability	False	0.970572	0.973248	0.917603	0.915463	0.941025	0.965654	NA	NA	NA	NA	NA	NA	NA
median_depth_15_25:snp	snp	supported_with_caveat	caller_concordance,descriptive_stratification,downsampling_stability,reference_sample_self_consistency	False	0.713122	0.720754	0.470114	0.461289	0.604164	0.994323	20668.257	0.999866	1081320	70905.93	0.088613	0.262422	0.952734
median_depth_15_25:indel	indel	supported_with_caveat	caller_concordance,downsampling_stability	False	0.686478	0.708767	0.423477	0.467311	0.213974	0.880952	NA	NA	NA	NA	NA	NA	NA
median_depth_15_25:het	het	supported_with_caveat	caller_concordance,downsampling_stability	False	0.707522	0.716235	0.46046	0.455282	0.580398	0.998304	NA	NA	NA	NA	NA	NA	NA
median_depth_15_25:hom_alt	hom_alt	supported_with_caveat	caller_concordance,downsampling_stability	False	0.925847	0.919492	0.834746	0.788136	0.944099	0.77193	NA	NA	NA	NA	NA	NA	NA
median_depth_25_plus:snp	snp	supported_with_caveat	caller_concordance,descriptive_stratification,downsampling_stability,reference_sample_self_consistency	False	0.783183	0.783924	0.601513	0.598398	0.533297	0.994436	29245.044	0.99986	244862	86375.183	0.078403	0.164603	0.972112
median_depth_25_plus:indel	indel	supported_with_caveat	caller_concordance,downsampling_stability	False	0.737201	0.738908	0.564846	0.537543	0.23366	0.909091	NA	NA	NA	NA	NA	NA	NA
median_depth_25_plus:het	het	supported_with_caveat	caller_concordance,downsampling_stability	False	0.77678	0.777471	0.594057	0.589357	0.510193	0.997554	NA	NA	NA	NA	NA	NA	NA
median_depth_25_plus:hom_alt	hom_alt	supported_with_caveat	caller_concordance,downsampling_stability	False	0.989362	1.0	0.946809	0.914894	0.928571	0.692308	NA	NA	NA	NA	NA	NA	NA
gc_00_25:snp	snp	supported_with_caveat	caller_concordance,descriptive_stratification,downsampling_stability,reference_sample_self_consistency	False	0.838196	0.909814	0.725464	0.763926	0.620884	0.95	204.476	0.99005	983000	20140.387	0.046796	0.555874	0.179769
gc_00_25:indel	indel	supported_with_caveat	caller_concordance,downsampling_stability	False	0.822917	0.890625	0.669271	0.705729	0.704225	0.85	NA	NA	NA	NA	NA	NA	NA
gc_00_25:het	het	supported_with_caveat	caller_concordance,downsampling_stability	False	0.707865	0.794007	0.588015	0.565543	0.321033	0.896552	NA	NA	NA	NA	NA	NA	NA
gc_00_25:hom_alt	hom_alt	supported_with_caveat	caller_concordance,downsampling_stability	False	0.871412	0.936854	0.742824	0.799082	0.829989	0.923664	NA	NA	NA	NA	NA	NA	NA
gc_25_30:snp	snp	supported_with_caveat	caller_concordance,descriptive_stratification,downsampling_stability,reference_sample_self_consistency	False	0.781214	0.740626	0.589486	0.573637	0.636189	0.981846	617.46	0.997429	1890000	24352.91	0.051719	0.464982	0.36298
gc_25_30:indel	indel	supported_with_caveat	caller_concordance,downsampling_stability	False	0.794915	0.772881	0.616949	0.59661	0.50858	0.877301	NA	NA	NA	NA	NA	NA	NA
gc_25_30:het	het	supported_with_caveat	caller_concordance,downsampling_stability	False	0.68882	0.62236	0.438434	0.407522	0.488179	0.974511	NA	NA	NA	NA	NA	NA	NA
gc_25_30:hom_alt	hom_alt	supported_with_caveat	caller_concordance,downsampling_stability	False	0.932848	0.941748	0.839806	0.845469	0.840386	0.959364	NA	NA	NA	NA	NA	NA	NA
gc_30_35:snp	snp	supported_with_caveat	caller_concordance,descriptive_stratification,downsampling_stability,reference_sample_self_consistency	False	0.719896	0.710942	0.490482	0.474055	0.598683	0.986777	1907.051	0.999649	5971000	27392.732	0.062918	0.393356	0.588626
gc_30_35:indel	indel	supported_with_caveat	caller_concordance,downsampling_stability	False	0.725788	0.702703	0.507883	0.483671	0.383909	0.863572	NA	NA	NA	NA	NA	NA	NA
gc_30_35:het	het	supported_with_caveat	caller_concordance,downsampling_stability	False	0.664973	0.651582	0.403294	0.385361	0.50724	0.986308	NA	NA	NA	NA	NA	NA	NA
gc_30_35:hom_alt	hom_alt	supported_with_caveat	caller_concordance,downsampling_stability	False	0.963937	0.965959	0.88271	0.868217	0.916799	0.95758	NA	NA	NA	NA	NA	NA	NA
gc_35_40:snp	snp	supported_with_caveat	caller_concordance,descriptive_stratification,downsampling_stability,reference_sample_self_consistency	False	0.694572	0.696947	0.467735	0.468865	0.59175	0.98809	3136.211	0.99933	7136000	29977.018	0.072316	0.361267	0.714641
gc_35_40:indel	indel	supported_with_caveat	caller_concordance,downsampling_stability	False	0.678477	0.708592	0.447298	0.469442	0.30733	0.894003	NA	NA	NA	NA	NA	NA	NA
gc_35_40:het	het	supported_with_caveat	caller_concordance,downsampling_stability	False	0.652337	0.656705	0.400962	0.404117	0.520425	0.990453	NA	NA	NA	NA	NA	NA	NA
gc_35_40:hom_alt	hom_alt	supported_with_caveat	caller_concordance,downsampling_stability	False	0.942857	0.948522	0.863054	0.863547	0.919645	0.9619	NA	NA	NA	NA	NA	NA	NA
gc_40_45:snp	snp	supported_with_caveat	caller_concordance,descriptive_stratification,downsampling_stability,reference_sample_self_consistency	False	0.686669	0.705044	0.469997	0.468466	0.58322	0.987693	3008.989	0.99888	2670000	31274.157	0.077295	0.362258	0.713403
gc_40_45:indel	indel	supported_with_caveat	caller_concordance,downsampling_stability	False	0.670732	0.668514	0.43459	0.443459	0.268528	0.896	NA	NA	NA	NA	NA	NA	NA
gc_40_45:het	het	supported_with_caveat	caller_concordance,downsampling_stability	False	0.641066	0.660966	0.398839	0.40029	0.50972	0.990888	NA	NA	NA	NA	NA	NA	NA
gc_40_45:hom_alt	hom_alt	supported_with_caveat	caller_concordance,downsampling_stability	False	0.936583	0.935408	0.854375	0.841456	0.887744	0.962126	NA	NA	NA	NA	NA	NA	NA
gc_45_100:snp	snp	supported_with_caveat	caller_concordance,descriptive_stratification,downsampling_stability,reference_sample_self_consistency	False	0.756298	0.74895	0.536039	0.542687	0.442132	0.966952	2434.074	0.99574	1350000	39594.815	0.121382	0.358349	0.690295
gc_45_100:indel	indel	supported_with_caveat	caller_concordance,downsampling_stability	False	0.745935	0.757114	0.535569	0.554878	0.376537	0.733668	NA	NA	NA	NA	NA	NA	NA
gc_45_100:het	het	supported_with_caveat	caller_concordance,downsampling_stability	False	0.710965	0.706467	0.464667	0.475351	0.369406	0.982309	NA	NA	NA	NA	NA	NA	NA
gc_45_100:hom_alt	hom_alt	supported_with_caveat	caller_concordance,downsampling_stability	False	0.926007	0.920879	0.814652	0.814652	0.822957	0.853428	NA	NA	NA	NA	NA	NA	NA
genome_outside_window:snp+indel	snp+indel	not_evaluated		False	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
