## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT SRR11787767.sorted.bam --OUTPUT SRR11787767.markdup.bam --METRICS_FILE SRR11787767.markduplicates.metrics.txt --REMOVE_DUPLICATES false --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --VALIDATION_STRINGENCY STRICT --CREATE_INDEX false --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_DUP_STRATEGY FLOW_QUALITY_SUM_STRATEGY --FLOW_USE_END_IN_UNPAIRED_READS false --FLOW_USE_UNPAIRED_CLIPPED_END false --FLOW_UNPAIRED_END_UNCERTAINTY 0 --FLOW_UNPAIRED_START_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Sep 15 15:04:42 GMT 2026

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
1-ye-1	73552	23025440	418643	268006	45252	3681198	0	0.160601	64111440

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	16249471	16249471
2.0	1.698272	2625419	2625419
3.0	2.185855	390496	390496
4.0	2.52632	59397	59397
5.0	2.764058	11758	11758
6.0	2.930063	3660	3660
7.0	3.04598	1701	1701
8.0	3.126921	912	912
9.0	3.18344	487	487
10.0	3.222906	298	298
11.0	3.250464	192	192
12.0	3.269707	143	143
13.0	3.283143	94	94
14.0	3.292526	61	61
15.0	3.299077	41	41
16.0	3.303652	35	35
17.0	3.306846	22	22
18.0	3.309077	9	9
19.0	3.310634	8	8
20.0	3.311722	10	10
21.0	3.312481	9	9
22.0	3.313012	5	5
23.0	3.313382	0	0
24.0	3.313641	2	2
25.0	3.313821	1	1
26.0	3.313947	1	1
27.0	3.314035	0	0
28.0	3.314097	0	0
29.0	3.31414	2	2
30.0	3.31417	1	1
31.0	3.314191	0	0
32.0	3.314205	0	0
33.0	3.314215	0	0
34.0	3.314222	0	0
35.0	3.314227	0	0
36.0	3.314231	0	0
37.0	3.314233	0	0
38.0	3.314235	1	1
39.0	3.314236	2	2
40.0	3.314237	0	0
41.0	3.314238	3	3
42.0	3.314238	0	0
43.0	3.314238	0	0
44.0	3.314238	0	0
45.0	3.314239	0	0
46.0	3.314239	0	0
47.0	3.314239	1	1
48.0	3.314239	0	0
49.0	3.314239	0	0
50.0	3.314239	0	0
51.0	3.314239	0	0
52.0	3.314239	0	0
53.0	3.314239	0	0
54.0	3.314239	0	0
55.0	3.314239	0	0
56.0	3.314239	0	0
57.0	3.314239	0	0
58.0	3.314239	0	0
59.0	3.314239	0	0
60.0	3.314239	0	0
61.0	3.314239	0	0
62.0	3.314239	0	0
63.0	3.314239	0	0
64.0	3.314239	0	0
65.0	3.314239	0	0
66.0	3.314239	0	0
67.0	3.314239	0	0
68.0	3.314239	0	0
69.0	3.314239	0	0
70.0	3.314239	0	0
71.0	3.314239	0	0
72.0	3.314239	0	0
73.0	3.314239	0	0
74.0	3.314239	0	0
75.0	3.314239	0	0
76.0	3.314239	0	0
77.0	3.314239	0	0
78.0	3.314239	0	0
79.0	3.314239	0	0
80.0	3.314239	0	0
81.0	3.314239	0	0
82.0	3.314239	0	0
83.0	3.314239	0	0
84.0	3.314239	0	0
85.0	3.314239	0	0
86.0	3.314239	0	0
87.0	3.314239	0	0
88.0	3.314239	0	0
89.0	3.314239	0	0
90.0	3.314239	0	0
91.0	3.314239	0	0
92.0	3.314239	0	0
93.0	3.314239	0	0
94.0	3.314239	0	0
95.0	3.314239	0	0
96.0	3.314239	0	0
97.0	3.314239	0	0
98.0	3.314239	0	0
99.0	3.314239	0	0
100.0	3.314239	0	0

